"","Items","quantity","price","total","y"
"3775","MilanPMirror",1,5.7,5.7,2019-07-08
"3776","LoofahPack",1,29.4,29.4,2019-07-08
"3777","Package2",2,34.8,69.6,2019-07-08
"3778","Package3",4,34.9,139.6,2019-07-08
"3779","Package4",3,24.9,74.7,2019-07-08
"3780","Package5",4,24.8,99.2,2019-07-08
"3781","DriedBoquet1",1,49.5,49.5,2019-07-09
"3782","DriedBoquet2",3,41,123,2019-07-09
"3783","EucalyptSmudge",5,15.6,78,2019-07-09
"3784","SageSmudge",1,16.3,16.3,2019-07-09
"3785","RosePotpourri",1,12,12,2019-07-09
"3786","CDiskBamboo",4,29,116,2019-07-09
"3787","CDiskCoconut",3,26.9,80.7,2019-07-09
"3788","SmudgeBundle",4,53.3,213.2,2019-07-09
"3789","LoofahPack",5,12.1,60.5,2019-07-09
"3790","Package1",1,52.7,52.7,2019-07-09
"3791","BeeswaxCandle",1,27.2,27.2,2019-07-09
"3792","PackTeaCandles",2,8,16,2019-07-09
"3793","DreamPouch",2,18.8,37.6,2019-07-09
"3794","ParisPMirror",3,6.6,19.8,2019-07-09
"3795","MilanPMirror",1,5.7,5.7,2019-07-09
"3796","LoofahPack",1,29.4,29.4,2019-07-09
"3797","Package2",2,34.8,69.6,2019-07-09
"3798","Package3",4,34.9,139.6,2019-07-09
"3799","Package4",3,24.9,74.7,2019-07-09
"3800","Package5",4,24.8,99.2,2019-07-09
"3801","DriedBoquet1",1,49.5,49.5,2019-07-10
"3802","DriedBoquet2",3,41,123,2019-07-10
"3803","EucalyptSmudge",5,15.6,78,2019-07-10
"3804","SageSmudge",1,16.3,16.3,2019-07-10
"3805","RosePotpourri",1,12,12,2019-07-10
"3806","CDiskBamboo",4,29,116,2019-07-10
"3807","CDiskCoconut",3,26.9,80.7,2019-07-10
"3808","SmudgeBundle",4,53.3,213.2,2019-07-10
"3809","LoofahPack",5,12.1,60.5,2019-07-10
"3810","Package1",1,52.7,52.7,2019-07-10
"3811","BeeswaxCandle",1,27.2,27.2,2019-07-10
"3812","PackTeaCandles",2,8,16,2019-07-10
"3813","DreamPouch",2,18.8,37.6,2019-07-10
"3814","ParisPMirror",3,6.6,19.8,2019-07-10
"3815","MilanPMirror",1,5.7,5.7,2019-07-10
"3816","LoofahPack",1,29.4,29.4,2019-07-10
"3817","Package2",2,34.8,69.6,2019-07-10
"3818","Package3",4,34.9,139.6,2019-07-10
"3819","Package4",3,24.9,74.7,2019-07-10
"3820","Package5",4,24.8,99.2,2019-07-10
"3821","DriedBoquet1",1,49.5,49.5,2019-07-11
"3822","DriedBoquet2",3,41,123,2019-07-11
"3823","EucalyptSmudge",5,15.6,78,2019-07-11
"3824","SageSmudge",1,16.3,16.3,2019-07-11
"3825","RosePotpourri",1,12,12,2019-07-11
"3826","CDiskBamboo",4,29,116,2019-07-11
"3827","CDiskCoconut",3,26.9,80.7,2019-07-11
"3828","SmudgeBundle",4,53.3,213.2,2019-07-11
"3829","LoofahPack",5,12.1,60.5,2019-07-11
"3830","Package1",1,52.7,52.7,2019-07-11
"3831","BeeswaxCandle",1,27.2,27.2,2019-07-11
"3832","PackTeaCandles",2,8,16,2019-07-11
"3833","DreamPouch",2,18.8,37.6,2019-07-11
"3834","ParisPMirror",3,6.6,19.8,2019-07-11
"3835","MilanPMirror",1,5.7,5.7,2019-07-11
"3836","LoofahPack",1,29.4,29.4,2019-07-11
"3837","Package2",2,34.8,69.6,2019-07-11
"3838","Package3",4,34.9,139.6,2019-07-11
"3839","Package4",3,24.9,74.7,2019-07-11
"3840","Package5",4,24.8,99.2,2019-07-11
"3841","DriedBoquet1",1,49.5,49.5,2019-07-12
"3842","DriedBoquet2",3,41,123,2019-07-12
"3843","EucalyptSmudge",5,15.6,78,2019-07-12
"3844","SageSmudge",1,16.3,16.3,2019-07-12
"3845","RosePotpourri",1,12,12,2019-07-12
"3846","CDiskBamboo",4,29,116,2019-07-12
"3847","CDiskCoconut",3,26.9,80.7,2019-07-12
"3848","SmudgeBundle",4,53.3,213.2,2019-07-12
"3849","LoofahPack",5,12.1,60.5,2019-07-12
"3850","Package1",1,52.7,52.7,2019-07-12
"3851","BeeswaxCandle",1,27.2,27.2,2019-07-12
"3852","PackTeaCandles",2,8,16,2019-07-12
"3853","DreamPouch",2,18.8,37.6,2019-07-12
"3854","ParisPMirror",3,6.6,19.8,2019-07-12
"3855","MilanPMirror",1,5.7,5.7,2019-07-12
"3856","LoofahPack",1,29.4,29.4,2019-07-12
"3857","Package2",2,34.8,69.6,2019-07-12
"3858","Package3",4,34.9,139.6,2019-07-12
"3859","Package4",3,24.9,74.7,2019-07-12
"3860","Package5",4,24.8,99.2,2019-07-12
"3861","DriedBoquet1",1,49.5,49.5,2019-07-13
"3862","DriedBoquet2",3,41,123,2019-07-13
"3863","EucalyptSmudge",5,15.6,78,2019-07-13
"3864","SageSmudge",1,16.3,16.3,2019-07-13
"3865","RosePotpourri",1,12,12,2019-07-13
"3866","CDiskBamboo",4,29,116,2019-07-13
"3867","CDiskCoconut",3,26.9,80.7,2019-07-13
"3868","SmudgeBundle",4,53.3,213.2,2019-07-13
"3869","LoofahPack",5,12.1,60.5,2019-07-13
"3870","Package1",1,52.7,52.7,2019-07-13
"3871","BeeswaxCandle",1,27.2,27.2,2019-07-13
"3872","PackTeaCandles",2,8,16,2019-07-13
"3873","DreamPouch",2,18.8,37.6,2019-07-13
"3874","ParisPMirror",3,6.6,19.8,2019-07-13
"3875","MilanPMirror",1,5.7,5.7,2019-07-13
"3876","LoofahPack",1,29.4,29.4,2019-07-13
"3877","Package2",2,34.8,69.6,2019-07-13
"3878","Package3",4,34.9,139.6,2019-07-13
"3879","Package4",3,24.9,74.7,2019-07-13
"3880","Package5",4,24.8,99.2,2019-07-13
"3881","DriedBoquet1",1,49.5,49.5,2019-07-14
"3882","DriedBoquet2",3,41,123,2019-07-14
"3883","EucalyptSmudge",5,15.6,78,2019-07-14
"3884","SageSmudge",1,16.3,16.3,2019-07-14
"3885","RosePotpourri",1,12,12,2019-07-14
"3886","CDiskBamboo",4,29,116,2019-07-14
"3887","CDiskCoconut",3,26.9,80.7,2019-07-14
"3888","SmudgeBundle",4,53.3,213.2,2019-07-14
"3889","LoofahPack",5,12.1,60.5,2019-07-14
"3890","Package1",1,52.7,52.7,2019-07-14
"3891","BeeswaxCandle",1,27.2,27.2,2019-07-14
"3892","PackTeaCandles",2,8,16,2019-07-14
"3893","DreamPouch",2,18.8,37.6,2019-07-14
"3894","ParisPMirror",3,6.6,19.8,2019-07-14
"3895","MilanPMirror",1,5.7,5.7,2019-07-14
"3896","LoofahPack",1,29.4,29.4,2019-07-14
"3897","Package2",2,34.8,69.6,2019-07-14
"3898","Package3",4,34.9,139.6,2019-07-14
"3899","Package4",3,24.9,74.7,2019-07-14
"3900","Package5",4,24.8,99.2,2019-07-14
"3901","DriedBoquet1",1,49.5,49.5,2019-07-15
"3902","DriedBoquet2",3,41,123,2019-07-15
"3903","EucalyptSmudge",5,15.6,78,2019-07-15
"3904","SageSmudge",1,16.3,16.3,2019-07-15
"3905","RosePotpourri",1,12,12,2019-07-15
"3906","CDiskBamboo",4,29,116,2019-07-15
"3907","CDiskCoconut",3,26.9,80.7,2019-07-15
"3908","SmudgeBundle",4,53.3,213.2,2019-07-15
"3909","LoofahPack",5,12.1,60.5,2019-07-15
"3910","Package1",1,52.7,52.7,2019-07-15
"3911","BeeswaxCandle",1,27.2,27.2,2019-07-15
"3912","PackTeaCandles",2,8,16,2019-07-15
"3913","DreamPouch",2,18.8,37.6,2019-07-15
"3914","ParisPMirror",3,6.6,19.8,2019-07-15
"3915","MilanPMirror",1,5.7,5.7,2019-07-15
"3916","LoofahPack",1,29.4,29.4,2019-07-15
"3917","Package2",2,34.8,69.6,2019-07-15
"3918","Package3",4,34.9,139.6,2019-07-15
"3919","Package4",3,24.9,74.7,2019-07-15
"3920","Package5",4,24.8,99.2,2019-07-15
"3921","DriedBoquet1",1,49.5,49.5,2019-07-16
"3922","DriedBoquet2",3,41,123,2019-07-16
"3923","EucalyptSmudge",5,15.6,78,2019-07-16
"3924","SageSmudge",1,16.3,16.3,2019-07-16
"3925","RosePotpourri",1,12,12,2019-07-16
"3926","CDiskBamboo",4,29,116,2019-07-16
"3927","CDiskCoconut",3,26.9,80.7,2019-07-16
"3928","SmudgeBundle",4,53.3,213.2,2019-07-16
"3929","LoofahPack",5,12.1,60.5,2019-07-16
"3930","Package1",1,52.7,52.7,2019-07-16
"3931","BeeswaxCandle",1,27.2,27.2,2019-07-16
"3932","PackTeaCandles",2,8,16,2019-07-16
"3933","DreamPouch",2,18.8,37.6,2019-07-16
"3934","ParisPMirror",3,6.6,19.8,2019-07-16
"3935","MilanPMirror",1,5.7,5.7,2019-07-16
"3936","LoofahPack",1,29.4,29.4,2019-07-16
"3937","Package2",2,34.8,69.6,2019-07-16
"3938","Package3",4,34.9,139.6,2019-07-16
"3939","Package4",3,24.9,74.7,2019-07-16
"3940","Package5",4,24.8,99.2,2019-07-16
"3941","DriedBoquet1",1,49.5,49.5,2019-07-17
"3942","DriedBoquet2",3,41,123,2019-07-17
"3943","EucalyptSmudge",5,15.6,78,2019-07-17
"3944","SageSmudge",1,16.3,16.3,2019-07-17
"3945","RosePotpourri",1,12,12,2019-07-17
"3946","CDiskBamboo",4,29,116,2019-07-17
"3947","CDiskCoconut",3,26.9,80.7,2019-07-17
"3948","SmudgeBundle",4,53.3,213.2,2019-07-17
"3949","LoofahPack",5,12.1,60.5,2019-07-17
"3950","Package1",1,52.7,52.7,2019-07-17
"3951","BeeswaxCandle",1,27.2,27.2,2019-07-17
"3952","PackTeaCandles",2,8,16,2019-07-17
"3953","DreamPouch",2,18.8,37.6,2019-07-17
"3954","ParisPMirror",3,6.6,19.8,2019-07-17
"3955","MilanPMirror",1,5.7,5.7,2019-07-17
"3956","LoofahPack",1,29.4,29.4,2019-07-17
"3957","Package2",2,34.8,69.6,2019-07-17
"3958","Package3",4,34.9,139.6,2019-07-17
"3959","Package4",3,24.9,74.7,2019-07-17
"3960","Package5",4,24.8,99.2,2019-07-17
"3961","DriedBoquet1",1,49.5,49.5,2019-07-18
"3962","DriedBoquet2",3,41,123,2019-07-18
"3963","EucalyptSmudge",5,15.6,78,2019-07-18
"3964","SageSmudge",1,16.3,16.3,2019-07-18
"3965","RosePotpourri",1,12,12,2019-07-18
"3966","CDiskBamboo",4,29,116,2019-07-18
"3967","CDiskCoconut",3,26.9,80.7,2019-07-18
"3968","SmudgeBundle",4,53.3,213.2,2019-07-18
"3969","LoofahPack",5,12.1,60.5,2019-07-18
"3970","Package1",1,52.7,52.7,2019-07-18
"3971","BeeswaxCandle",1,27.2,27.2,2019-07-18
"3972","PackTeaCandles",2,8,16,2019-07-18
"3973","DreamPouch",2,18.8,37.6,2019-07-18
"3974","ParisPMirror",3,6.6,19.8,2019-07-18
"3975","MilanPMirror",1,5.7,5.7,2019-07-18
"3976","LoofahPack",1,29.4,29.4,2019-07-18
"3977","Package2",2,34.8,69.6,2019-07-18
"3978","Package3",4,34.9,139.6,2019-07-18
"3979","Package4",3,24.9,74.7,2019-07-18
"3980","Package5",4,24.8,99.2,2019-07-18
"3981","DriedBoquet1",1,49.5,49.5,2019-07-19
"3982","DriedBoquet2",3,41,123,2019-07-19
"3983","EucalyptSmudge",5,15.6,78,2019-07-19
"3984","SageSmudge",1,16.3,16.3,2019-07-19
"3985","RosePotpourri",1,12,12,2019-07-19
"3986","CDiskBamboo",4,29,116,2019-07-19
"3987","CDiskCoconut",3,26.9,80.7,2019-07-19
"3988","SmudgeBundle",4,53.3,213.2,2019-07-19
"3989","LoofahPack",5,12.1,60.5,2019-07-19
"3990","Package1",1,52.7,52.7,2019-07-19
"3991","BeeswaxCandle",1,27.2,27.2,2019-07-19
"3992","PackTeaCandles",2,8,16,2019-07-19
"3993","DreamPouch",2,18.8,37.6,2019-07-19
"3994","ParisPMirror",3,6.6,19.8,2019-07-19
"3995","MilanPMirror",1,5.7,5.7,2019-07-19
"3996","LoofahPack",1,29.4,29.4,2019-07-19
"3997","Package2",2,34.8,69.6,2019-07-19
"3998","Package3",4,34.9,139.6,2019-07-19
"3999","Package4",3,24.9,74.7,2019-07-19
"4000","Package5",4,24.8,99.2,2019-07-19
"4001","DriedBoquet1",1,49.5,49.5,2019-07-20
"4002","DriedBoquet2",3,41,123,2019-07-20
"4003","EucalyptSmudge",5,15.6,78,2019-07-20
"4004","SageSmudge",1,16.3,16.3,2019-07-20
"4005","RosePotpourri",1,12,12,2019-07-20
"4006","CDiskBamboo",4,29,116,2019-07-20
"4007","CDiskCoconut",3,26.9,80.7,2019-07-20
"4008","SmudgeBundle",4,53.3,213.2,2019-07-20
"4009","LoofahPack",5,12.1,60.5,2019-07-20
"4010","Package1",1,52.7,52.7,2019-07-20
"4011","BeeswaxCandle",1,27.2,27.2,2019-07-20
"4012","PackTeaCandles",2,8,16,2019-07-20
"4013","DreamPouch",2,18.8,37.6,2019-07-20
"4014","ParisPMirror",3,6.6,19.8,2019-07-20
"4015","MilanPMirror",1,5.7,5.7,2019-07-20
"4016","LoofahPack",1,29.4,29.4,2019-07-20
"4017","Package2",2,34.8,69.6,2019-07-20
"4018","Package3",4,34.9,139.6,2019-07-20
"4019","Package4",3,24.9,74.7,2019-07-20
"4020","Package5",4,24.8,99.2,2019-07-20
"4021","DriedBoquet1",1,49.5,49.5,2019-07-21
"4022","DriedBoquet2",3,41,123,2019-07-21
"4023","EucalyptSmudge",5,15.6,78,2019-07-21
"4024","SageSmudge",1,16.3,16.3,2019-07-21
"4025","RosePotpourri",1,12,12,2019-07-21
"4026","CDiskBamboo",4,29,116,2019-07-21
"4027","CDiskCoconut",3,26.9,80.7,2019-07-21
"4028","SmudgeBundle",4,53.3,213.2,2019-07-21
"4029","LoofahPack",5,12.1,60.5,2019-07-21
"4030","Package1",1,52.7,52.7,2019-07-21
"4031","BeeswaxCandle",1,27.2,27.2,2019-07-21
"4032","PackTeaCandles",2,8,16,2019-07-21
"4033","DreamPouch",2,18.8,37.6,2019-07-21
"4034","ParisPMirror",3,6.6,19.8,2019-07-21
"4035","MilanPMirror",1,5.7,5.7,2019-07-21
"4036","LoofahPack",1,29.4,29.4,2019-07-21
"4037","Package2",2,34.8,69.6,2019-07-21
"4038","Package3",4,34.9,139.6,2019-07-21
"4039","Package4",3,24.9,74.7,2019-07-21
"4040","Package5",4,24.8,99.2,2019-07-21
"4041","DriedBoquet1",1,49.5,49.5,2019-07-22
"4042","DriedBoquet2",3,41,123,2019-07-22
"4043","EucalyptSmudge",5,15.6,78,2019-07-22
"4044","SageSmudge",1,16.3,16.3,2019-07-22
"4045","RosePotpourri",1,12,12,2019-07-22
"4046","CDiskBamboo",4,29,116,2019-07-22
"4047","CDiskCoconut",3,26.9,80.7,2019-07-22
"4048","SmudgeBundle",4,53.3,213.2,2019-07-22
"4049","LoofahPack",5,12.1,60.5,2019-07-22
"4050","Package1",1,52.7,52.7,2019-07-22
"4051","BeeswaxCandle",1,27.2,27.2,2019-07-22
"4052","PackTeaCandles",2,8,16,2019-07-22
"4053","DreamPouch",2,18.8,37.6,2019-07-22
"4054","ParisPMirror",3,6.6,19.8,2019-07-22
"4055","MilanPMirror",1,5.7,5.7,2019-07-22
"4056","LoofahPack",1,29.4,29.4,2019-07-22
"4057","Package2",2,34.8,69.6,2019-07-22
"4058","Package3",4,34.9,139.6,2019-07-22
"4059","Package4",3,24.9,74.7,2019-07-22
"4060","Package5",4,24.8,99.2,2019-07-22
"4061","DriedBoquet1",1,49.5,49.5,2019-07-23
"4062","DriedBoquet2",3,41,123,2019-07-23
"4063","EucalyptSmudge",5,15.6,78,2019-07-23
"4064","SageSmudge",1,16.3,16.3,2019-07-23
"4065","RosePotpourri",1,12,12,2019-07-23
"4066","CDiskBamboo",4,29,116,2019-07-23
"4067","CDiskCoconut",3,26.9,80.7,2019-07-23
"4068","SmudgeBundle",4,53.3,213.2,2019-07-23
"4069","LoofahPack",5,12.1,60.5,2019-07-23
"4070","Package1",1,52.7,52.7,2019-07-23
"4071","BeeswaxCandle",1,27.2,27.2,2019-07-23
"4072","PackTeaCandles",2,8,16,2019-07-23
"4073","DreamPouch",2,18.8,37.6,2019-07-23
"4074","ParisPMirror",3,6.6,19.8,2019-07-23
"4075","MilanPMirror",1,5.7,5.7,2019-07-23
"4076","LoofahPack",1,29.4,29.4,2019-07-23
"4077","Package2",2,34.8,69.6,2019-07-23
"4078","Package3",4,34.9,139.6,2019-07-23
"4079","Package4",3,24.9,74.7,2019-07-23
"4080","Package5",4,24.8,99.2,2019-07-23
"4081","DriedBoquet1",1,49.5,49.5,2019-07-24
"4082","DriedBoquet2",3,41,123,2019-07-24
"4083","EucalyptSmudge",5,15.6,78,2019-07-24
"4084","SageSmudge",1,16.3,16.3,2019-07-24
"4085","RosePotpourri",1,12,12,2019-07-24
"4086","CDiskBamboo",4,29,116,2019-07-24
"4087","CDiskCoconut",3,26.9,80.7,2019-07-24
"4088","SmudgeBundle",4,53.3,213.2,2019-07-24
"4089","LoofahPack",5,12.1,60.5,2019-07-24
"4090","Package1",1,52.7,52.7,2019-07-24
"4091","BeeswaxCandle",1,27.2,27.2,2019-07-24
"4092","PackTeaCandles",2,8,16,2019-07-24
"4093","DreamPouch",2,18.8,37.6,2019-07-24
"4094","ParisPMirror",3,6.6,19.8,2019-07-24
"4095","MilanPMirror",1,5.7,5.7,2019-07-24
"4096","LoofahPack",1,29.4,29.4,2019-07-24
"4097","Package2",2,34.8,69.6,2019-07-24
"4098","Package3",4,34.9,139.6,2019-07-24
"4099","Package4",3,24.9,74.7,2019-07-24
"4100","Package5",4,24.8,99.2,2019-07-24
"4101","DriedBoquet1",1,49.5,49.5,2019-07-25
"4102","DriedBoquet2",3,41,123,2019-07-25
"4103","EucalyptSmudge",5,15.6,78,2019-07-25
"4104","SageSmudge",1,16.3,16.3,2019-07-25
"4105","RosePotpourri",1,12,12,2019-07-25
"4106","CDiskBamboo",4,29,116,2019-07-25
"4107","CDiskCoconut",3,26.9,80.7,2019-07-25
"4108","SmudgeBundle",4,53.3,213.2,2019-07-25
"4109","LoofahPack",5,12.1,60.5,2019-07-25
"4110","Package1",1,52.7,52.7,2019-07-25
"4111","BeeswaxCandle",1,27.2,27.2,2019-07-25
"4112","PackTeaCandles",2,8,16,2019-07-25
"4113","DreamPouch",2,18.8,37.6,2019-07-25
"4114","ParisPMirror",3,6.6,19.8,2019-07-25
"4115","MilanPMirror",1,5.7,5.7,2019-07-25
"4116","LoofahPack",1,29.4,29.4,2019-07-25
"4117","Package2",2,34.8,69.6,2019-07-25
"4118","Package3",4,34.9,139.6,2019-07-25
"4119","Package4",3,24.9,74.7,2019-07-25
"4120","Package5",4,24.8,99.2,2019-07-25
"4121","DriedBoquet1",1,49.5,49.5,2019-07-26
"4122","DriedBoquet2",3,41,123,2019-07-26
"4123","EucalyptSmudge",5,15.6,78,2019-07-26
"4124","SageSmudge",1,16.3,16.3,2019-07-26
"4125","RosePotpourri",1,12,12,2019-07-26
"4126","CDiskBamboo",4,29,116,2019-07-26
"4127","CDiskCoconut",3,26.9,80.7,2019-07-26
"4128","SmudgeBundle",4,53.3,213.2,2019-07-26
"4129","LoofahPack",5,12.1,60.5,2019-07-26
"4130","Package1",1,52.7,52.7,2019-07-26
"4131","BeeswaxCandle",1,27.2,27.2,2019-07-26
"4132","PackTeaCandles",2,8,16,2019-07-26
"4133","DreamPouch",2,18.8,37.6,2019-07-26
"4134","ParisPMirror",3,6.6,19.8,2019-07-26
"4135","MilanPMirror",1,5.7,5.7,2019-07-26
"4136","LoofahPack",1,29.4,29.4,2019-07-26
"4137","Package2",2,34.8,69.6,2019-07-26
"4138","Package3",4,34.9,139.6,2019-07-26
"4139","Package4",3,24.9,74.7,2019-07-26
"4140","Package5",4,24.8,99.2,2019-07-26
"4141","DriedBoquet1",1,49.5,49.5,2019-07-27
"4142","DriedBoquet2",3,41,123,2019-07-27
"4143","EucalyptSmudge",5,15.6,78,2019-07-27
"4144","SageSmudge",1,16.3,16.3,2019-07-27
"4145","RosePotpourri",1,12,12,2019-07-27
"4146","CDiskBamboo",4,29,116,2019-07-27
"4147","CDiskCoconut",3,26.9,80.7,2019-07-27
"4148","SmudgeBundle",4,53.3,213.2,2019-07-27
"4149","LoofahPack",5,12.1,60.5,2019-07-27
"4150","Package1",1,52.7,52.7,2019-07-27
"4151","BeeswaxCandle",1,27.2,27.2,2019-07-27
"4152","PackTeaCandles",2,8,16,2019-07-27
"4153","DreamPouch",2,18.8,37.6,2019-07-27
"4154","ParisPMirror",3,6.6,19.8,2019-07-27
"4155","MilanPMirror",1,5.7,5.7,2019-07-27
"4156","LoofahPack",1,29.4,29.4,2019-07-27
"4157","Package2",2,34.8,69.6,2019-07-27
"4158","Package3",4,34.9,139.6,2019-07-27
"4159","Package4",3,24.9,74.7,2019-07-27
"4160","Package5",4,24.8,99.2,2019-07-27
"4161","DriedBoquet1",1,49.5,49.5,2019-07-28
"4162","DriedBoquet2",3,41,123,2019-07-28
"4163","EucalyptSmudge",5,15.6,78,2019-07-28
"4164","SageSmudge",1,16.3,16.3,2019-07-28
"4165","RosePotpourri",1,12,12,2019-07-28
"4166","CDiskBamboo",4,29,116,2019-07-28
"4167","CDiskCoconut",3,26.9,80.7,2019-07-28
"4168","SmudgeBundle",4,53.3,213.2,2019-07-28
"4169","LoofahPack",5,12.1,60.5,2019-07-28
"4170","Package1",1,52.7,52.7,2019-07-28
"4171","BeeswaxCandle",1,27.2,27.2,2019-07-28
"4172","PackTeaCandles",2,8,16,2019-07-28
"4173","DreamPouch",2,18.8,37.6,2019-07-28
"4174","ParisPMirror",3,6.6,19.8,2019-07-28
"4175","MilanPMirror",1,5.7,5.7,2019-07-28
"4176","LoofahPack",1,29.4,29.4,2019-07-28
"4177","Package2",2,34.8,69.6,2019-07-28
"4178","Package3",4,34.9,139.6,2019-07-28
"4179","Package4",3,24.9,74.7,2019-07-28
"4180","Package5",4,24.8,99.2,2019-07-28
"4181","DriedBoquet1",1,49.5,49.5,2019-07-29
"4182","DriedBoquet2",3,41,123,2019-07-29
"4183","EucalyptSmudge",5,15.6,78,2019-07-29
"4184","SageSmudge",1,16.3,16.3,2019-07-29
"4185","RosePotpourri",1,12,12,2019-07-29
"4186","CDiskBamboo",4,29,116,2019-07-29
"4187","CDiskCoconut",3,26.9,80.7,2019-07-29
"4188","SmudgeBundle",4,53.3,213.2,2019-07-29
"4189","LoofahPack",5,12.1,60.5,2019-07-29
"4190","Package1",1,52.7,52.7,2019-07-29
"4191","BeeswaxCandle",1,27.2,27.2,2019-07-29
"4192","PackTeaCandles",2,8,16,2019-07-29
"4193","DreamPouch",2,18.8,37.6,2019-07-29
"4194","ParisPMirror",3,6.6,19.8,2019-07-29
"4195","MilanPMirror",1,5.7,5.7,2019-07-29
"4196","LoofahPack",1,29.4,29.4,2019-07-29
"4197","Package2",2,34.8,69.6,2019-07-29
"4198","Package3",4,34.9,139.6,2019-07-29
"4199","Package4",3,24.9,74.7,2019-07-29
"4200","Package5",4,24.8,99.2,2019-07-29
"4201","DriedBoquet1",1,49.5,49.5,2019-07-30
"4202","DriedBoquet2",3,41,123,2019-07-30
"4203","EucalyptSmudge",5,15.6,78,2019-07-30
"4204","SageSmudge",1,16.3,16.3,2019-07-30
"4205","RosePotpourri",1,12,12,2019-07-30
"4206","CDiskBamboo",4,29,116,2019-07-30
"4207","CDiskCoconut",3,26.9,80.7,2019-07-30
"4208","SmudgeBundle",4,53.3,213.2,2019-07-30
"4209","LoofahPack",5,12.1,60.5,2019-07-30
"4210","Package1",1,52.7,52.7,2019-07-30
"4211","BeeswaxCandle",1,27.2,27.2,2019-07-30
"4212","PackTeaCandles",2,8,16,2019-07-30
"4213","DreamPouch",2,18.8,37.6,2019-07-30
"4214","ParisPMirror",3,6.6,19.8,2019-07-30
"4215","MilanPMirror",1,5.7,5.7,2019-07-30
"4216","LoofahPack",1,29.4,29.4,2019-07-30
"4217","Package2",2,34.8,69.6,2019-07-30
"4218","Package3",4,34.9,139.6,2019-07-30
"4219","Package4",3,24.9,74.7,2019-07-30
"4220","Package5",4,24.8,99.2,2019-07-30
"4221","DriedBoquet1",1,49.5,49.5,2019-07-31
"4222","DriedBoquet2",3,41,123,2019-07-31
"4223","EucalyptSmudge",5,15.6,78,2019-07-31
"4224","SageSmudge",1,16.3,16.3,2019-07-31
"4225","RosePotpourri",1,12,12,2019-07-31
"4226","CDiskBamboo",4,29,116,2019-07-31
"4227","CDiskCoconut",3,26.9,80.7,2019-07-31
"4228","SmudgeBundle",4,53.3,213.2,2019-07-31
"4229","LoofahPack",5,12.1,60.5,2019-07-31
"4230","Package1",1,52.7,52.7,2019-07-31
"4231","BeeswaxCandle",1,27.2,27.2,2019-07-31
"4232","PackTeaCandles",2,8,16,2019-07-31
"4233","DreamPouch",2,18.8,37.6,2019-07-31
"4234","ParisPMirror",3,6.6,19.8,2019-07-31
"4235","MilanPMirror",1,5.7,5.7,2019-07-31
"4236","LoofahPack",1,29.4,29.4,2019-07-31
"4237","Package2",2,34.8,69.6,2019-07-31
"4238","Package3",4,34.9,139.6,2019-07-31
"4239","Package4",3,24.9,74.7,2019-07-31
"4240","Package5",4,24.8,99.2,2019-07-31
"4241","DriedBoquet1",1,49.5,49.5,2019-08-01
"4242","DriedBoquet2",3,41,123,2019-08-01
"4243","EucalyptSmudge",5,15.6,78,2019-08-01
"4244","SageSmudge",1,16.3,16.3,2019-08-01
"4245","RosePotpourri",1,12,12,2019-08-01
"4246","CDiskBamboo",4,29,116,2019-08-01
"4247","CDiskCoconut",3,26.9,80.7,2019-08-01
"4248","SmudgeBundle",4,53.3,213.2,2019-08-01
"4249","LoofahPack",5,12.1,60.5,2019-08-01
"4250","Package1",1,52.7,52.7,2019-08-01
"4251","BeeswaxCandle",1,27.2,27.2,2019-08-01
"4252","PackTeaCandles",2,8,16,2019-08-01
"4253","DreamPouch",2,18.8,37.6,2019-08-01
"4254","ParisPMirror",3,6.6,19.8,2019-08-01
"4255","MilanPMirror",1,5.7,5.7,2019-08-01
"4256","LoofahPack",1,29.4,29.4,2019-08-01
"4257","Package2",2,34.8,69.6,2019-08-01
"4258","Package3",4,34.9,139.6,2019-08-01
"4259","Package4",3,24.9,74.7,2019-08-01
"4260","Package5",4,24.8,99.2,2019-08-01
"4261","DriedBoquet1",1,49.5,49.5,2019-08-02
"4262","DriedBoquet2",3,41,123,2019-08-02
"4263","EucalyptSmudge",5,15.6,78,2019-08-02
"4264","SageSmudge",1,16.3,16.3,2019-08-02
"4265","RosePotpourri",1,12,12,2019-08-02
"4266","CDiskBamboo",4,29,116,2019-08-02
"4267","CDiskCoconut",3,26.9,80.7,2019-08-02
"4268","SmudgeBundle",4,53.3,213.2,2019-08-02
"4269","LoofahPack",5,12.1,60.5,2019-08-02
"4270","Package1",1,52.7,52.7,2019-08-02
"4271","BeeswaxCandle",1,27.2,27.2,2019-08-02
"4272","PackTeaCandles",2,8,16,2019-08-02
"4273","DreamPouch",2,18.8,37.6,2019-08-02
"4274","ParisPMirror",3,6.6,19.8,2019-08-02
"4275","MilanPMirror",1,5.7,5.7,2019-08-02
"4276","LoofahPack",1,29.4,29.4,2019-08-02
"4277","Package2",2,34.8,69.6,2019-08-02
"4278","Package3",4,34.9,139.6,2019-08-02
"4279","Package4",3,24.9,74.7,2019-08-02
"4280","Package5",4,24.8,99.2,2019-08-02
"4281","DriedBoquet1",1,49.5,49.5,2019-08-03
"4282","DriedBoquet2",3,41,123,2019-08-03
"4283","EucalyptSmudge",5,15.6,78,2019-08-03
"4284","SageSmudge",1,16.3,16.3,2019-08-03
